File:    C:\exports\T804.txt
Created: Friday, April 28, 2017 12:54:49 PM
Header time format: Absolute
Time of first sample: 118 12:53:47.693618299
Title:   T804

Time	Vel 1 Sense	SG3 TBar Axial	Thermocouple	Flash Trigger	TBar Poisson	IR 1	Gun Fire 24V	Vel 2 Sense	SG2 IBar	Photron Exp Out 1	Photron Exp Out 2	IR 2	Ev C1_01	Ev C1_08
s	V	V	V	V	V		V	V	V					
5.7E-005	4.8608	-0.0361538	-3.52991E-005	4.97559	-0.0264164	0	23.8864	4.88375	0.0052546	0	0	0	0	0
5.75E-005	4.86352	-0.0361706	-3.52991E-005	4.96947	-0.0264028	0	23.8897	4.88409	0.00526799	0	0	0	0	0
5.8E-005	4.86046	-0.0362143	-3.86458E-005	4.96742	-0.026396	0	23.8897	4.88647	0.00534496	0	0	0	0	0
5.85E-005	4.86284	-0.0361033	-3.86458E-005	4.97423	-0.0264266	0	23.8881	4.88409	0.0052546	0	0	0	0	0
5.9E-005	4.86182	-0.0361807	-4.19924E-005	4.96879	-0.0264708	0	23.8864	4.88375	0.00513746	0	0	0	0	0
5.95E-005	4.86114	-0.0361168	-4.19924E-005	4.97083	-0.0265049	0	23.8847	4.88239	0.00518431	0	0	0	0	0
6E-005	4.8625	-0.0361033	-4.19924E-005	4.96538	-0.0264742	0	23.8864	4.88409	0.00531819	0	0	0	0	0
6.05E-005	4.86419	-0.0360899	-4.53391E-005	4.96879	-0.0264606	0	23.8897	4.88511	0.00525125	0	0	0	0	0
6.1E-005	4.86521	-0.0361437	-4.53391E-005	4.96334	-0.0264266	0	23.9032	4.88511	0.00524456	0	0	0	0	0
6.15E-005	4.86318	-0.0360798	-4.53391E-005	4.97151	-0.0263654	0	23.9235	4.88409	0.00527803	0	0	0	0	0
6.2E-005	4.86284	-0.0361235	-4.53391E-005	4.97491	-0.0264572	0	23.942	4.88341	0.00523117	0	0	0	0	0
6.25E-005	4.86114	-0.0361874	-4.53391E-005	4.97355	-0.0264232	0	23.9504	4.88579	0.00526129	0	0	0	0	0
6.3E-005	4.86114	-0.0361235	-4.53391E-005	4.96947	-0.0264164	0	23.9521	4.88239	0.00523452	0	0	0	0	0
6.35E-005	4.8625	-0.0361201	-4.19924E-005	4.97764	-0.0264912	0	23.9471	4.88511	0.00523786	0	0	0	0	0
6.4E-005	4.8625	-0.0360966	-4.19924E-005	4.9681	-0.0264062	0	23.9437	4.88375	0.00529476	0	0	0	0	0
6.45E-005	4.8625	-0.0361437	-4.19924E-005	4.96538	-0.0264742	0	23.9353	4.88409	0.00526129	0	0	0	0	0
6.5E-005	4.86046	-0.0361706	-4.19924E-005	4.97151	-0.0264538	0	23.9268	4.88613	0.00526799	0	0	0	0	0
6.55E-005	4.86216	-0.0361605	-4.19924E-005	4.9681	-0.0265083	0	23.9184	4.88307	0.00525125	0	0	0	0	0
6.6E-005	4.86284	-0.0361706	-4.19924E-005	4.96947	-0.0264708	0	23.91	4.88273	0.00525125	0	0	0	0	0
6.65E-005	4.86148	-0.0361706	-4.19924E-005	4.97764	-0.0264266	0	23.9032	4.88613	0.00529811	0	0	0	0	0
6.7E-005	4.86453	-0.0360798	-4.19924E-005	4.96947	-0.026447	0	23.8982	4.88375	0.00528137	0	0	0	0	0
6.75E-005	4.86284	-0.0361269	-4.19924E-005	4.96606	-0.0263279	0	23.8965	4.88409	0.00532823	0	0	0	0	0
6.8E-005	4.86555	-0.0360932	-4.19924E-005	4.96742	-0.0264028	0	23.8948	4.88511	0.0053048	0	0	0	0	0
6.85E-005	4.86419	-0.0361773	-4.19924E-005	4.97628	-0.0265083	0	23.8931	4.88239	0.00522113	0	0	0	0	0
6.9E-005	4.86352	-0.0361134	-4.19924E-005	4.97355	-0.0265049	0	23.8914	4.88477	0.00527803	0	0	0	0	0
6.95E-005	4.86216	-0.0361672	-4.19924E-005	4.97287	-0.0264674	0	23.8914	4.88307	0.00533158	0	0	0	0	0
7E-005	4.86114	-0.0361134	-4.19924E-005	4.97219	-0.02643	0	23.8914	4.88273	0.00525794	0	0	0	0	0
7.05E-005	4.86216	-0.0361437	-4.19924E-005	4.97491	-0.026447	0	23.8914	4.88511	0.00528807	0	0	0	0	0
7.1E-005	4.86386	-0.0361336	-4.19924E-005	4.95789	-0.026464	0	23.8897	4.88715	0.00533492	0	0	0	0	0
7.15E-005	4.86453	-0.0361067	-4.19924E-005	4.97015	-0.0264572	0	23.8881	4.88443	0.00527468	0	0	0	0	0
7.2E-005	4.8625	-0.0361235	-4.19924E-005	4.96879	-0.0264538	0	23.8864	4.88511	0.00527803	0	0	0	0	0
7.25E-005	4.86352	-0.0361302	-4.19924E-005	4.97832	-0.0264844	0	23.8847	4.88545	0.00522113	0	0	0	0	0
7.3E-005	4.86114	-0.0361067	-4.19924E-005	4.97423	-0.026481	0	23.8864	4.88273	0.00533492	0	0	0	0	0
7.35E-005	4.8625	-0.0361437	-4.19924E-005	4.96879	-0.026396	0	23.8864	4.88477	0.00528807	0	0	0	0	0
7.4E-005	4.86521	-0.0361773	-3.86458E-005	4.9647	-0.026447	0	23.8881	4.88579	0.00529811	0	0	0	0	0
7.45E-005	4.86386	-0.0362177	-3.86458E-005	4.97355	-0.026379	0	23.8881	4.88579	0.00537843	0	0	0	0	0
7.5E-005	4.86352	-0.0362042	-3.52991E-005	4.97083	-0.0265253	0	23.8881	4.88579	0.00518431	0	0	0	0	0
7.55E-005	4.86487	-0.0361504	-3.52991E-005	4.97832	-0.0264402	0	23.8897	4.88409	0.00532823	0	0	0	0	0
7.6E-005	4.8625	-0.0362244	-3.19524E-005	4.97083	-0.02643	0	23.8999	4.88443	0.0053115	0	0	0	0	0
7.65E-005	4.86521	-0.0361739	-2.86057E-005	4.97015	-0.026447	0	23.9201	4.88477	0.00535501	0	0	0	0	0
7.7E-005	4.8625	-0.0361336	-2.52591E-005	4.97083	-0.0264096	0	23.942	4.88579	0.00528472	0	0	0	0	0
7.75E-005	4.86352	-0.036147	-2.52591E-005	4.96947	-0.0263756	0	23.9538	4.88545	0.00537509	0	0	0	0	0
7.8E-005	4.86759	-0.0361605	-2.19124E-005	4.97151	-0.026464	0	23.9538	4.88681	0.00528472	0	0	0	0	0
7.85E-005	4.86623	-0.0361605	-1.85657E-005	4.9681	-0.0264198	0	23.9487	4.88579	0.00523117	0	0	0	0	0
7.9E-005	4.86386	-0.0361807	-1.85657E-005	4.97423	-0.0264198	0	23.9437	4.88511	0.00526799	0	0	0	0	0
7.95E-005	4.86318	-0.0361907	-1.5219E-005	4.97559	-0.0264164	0	23.9386	4.88511	0.0052479	0	0	0	0	0
8E-005	4.86386	-0.0361336	-1.5219E-005	4.9681	-0.0263994	0	23.9336	4.88307	0.00528472	0	0	0	0	0
8.05E-005	4.86352	-0.0360966	-1.18724E-005	4.96742	-0.0263688	0	23.9268	4.88409	0.00525125	0	0	0	0	0
8.1E-005	4.86623	-0.0361571	-1.18724E-005	4.979	-0.0264232	0	23.9184	4.88375	0.00524121	0	0	0	0	0
8.15E-005	4.86555	-0.0361538	-1.18724E-005	4.97015	-0.0264266	0	23.91	4.88545	0.00526799	0	0	0	0	0
8.2E-005	4.86521	-0.0362143	-1.18724E-005	4.97696	-0.0264572	0	23.9015	4.88579	0.00522782	0	0	0	0	0
8.25E-005	4.86521	-0.0361538	-1.18724E-005	4.97832	-0.0264606	0	23.8965	4.88545	0.00528807	0	0	0	0	0
8.3E-005	4.8625	-0.0361874	-1.18724E-005	4.97764	-0.0264198	0	23.8931	4.88409	0.00529141	0	0	0	0	0
8.35E-005	4.8625	-0.0361235	-1.5219E-005	4.97083	-0.0264504	0	23.8948	4.88511	0.00525125	0	0	0	0	0
8.4E-005	4.86487	-0.0361638	-1.85657E-005	4.97287	-0.0264198	0	23.8948	4.88647	0.00521444	0	0	0	0	0
8.45E-005	4.86386	-0.0361504	-1.85657E-005	4.98172	-0.0264266	0	23.8948	4.88613	0.00521778	0	0	0	0	0
8.5E-005	4.86555	-0.0361975	-2.19124E-005	4.97559	-0.0264266	0	23.8948	4.88579	0.00528472	0	0	0	0	0
8.55E-005	4.86691	-0.0362244	-2.52591E-005	4.97628	-0.0264674	0	23.8931	4.88375	0.00521444	0	0	0	0	0
8.6E-005	4.86623	-0.0361269	-2.52591E-005	4.98445	-0.0264538	0	23.8931	4.88171	0.00521778	0	0	0	0	0
8.65E-005	4.86419	-0.0360798	-2.86057E-005	4.97219	-0.0264878	0	23.8914	4.88443	0.0052479	0	0	0	0	0
8.7E-005	4.86352	-0.0361773	-2.86057E-005	4.97287	-0.0264266	0	23.8914	4.88477	0.00535166	0	0	0	0	0
8.75E-005	4.86691	-0.0361538	-3.19524E-005	4.98172	-0.0264402	0	23.8881	4.88681	0.00528472	0	0	0	0	0
8.8E-005	4.86521	-0.0361807	-3.19524E-005	4.97764	-0.0265559	0	23.8864	4.88375	0.00523452	0	0	0	0	0
8.85E-005	4.86487	-0.0362076	-3.19524E-005	4.97628	-0.0264708	0	23.8847	4.88443	0.00531484	0	0	0	0	0
8.9E-005	4.86589	-0.0361504	-3.19524E-005	4.97696	-0.026396	0	23.8847	4.88307	0.0053115	0	0	0	0	0
8.95E-005	4.86759	-0.0361168	-3.19524E-005	4.97832	-0.0264776	0	23.8864	4.88205	0.0052546	0	0	0	0	0
9E-005	4.86521	-0.0361201	-3.19524E-005	4.96879	-0.0264198	0	23.8897	4.88613	0.0053048	0	0	0	0	0
9.05E-005	4.86487	-0.0361403	-3.19524E-005	4.979	-0.0264708	0	23.8931	4.88477	0.00525125	0	0	0	0	0
9.1E-005	4.86555	-0.0361571	-3.19524E-005	4.98036	-0.0264538	0	23.9015	4.88613	0.0052546	0	0	0	0	0
9.15E-005	4.86589	-0.0361571	-2.86057E-005	4.97355	-0.0264096	0	23.9167	4.88545	0.0052546	0	0	0	0	0
9.2E-005	4.86691	-0.0361302	-3.19524E-005	4.979	-0.026481	0	23.9353	4.88545	0.00524121	0	0	0	0	0
9.25E-005	4.86623	-0.0361538	-3.19524E-005	4.97491	-0.0264674	0	23.9487	4.88273	0.00522448	0	0	0	0	0
9.3E-005	4.86487	-0.0361706	-3.19524E-005	4.97151	-0.0264742	0	23.9538	4.88341	0.00522782	0	0	0	0	0
9.35E-005	4.86589	-0.036184	-3.19524E-005	4.97287	-0.0264062	0	23.9504	4.88511	0.00521778	0	0	0	0	0
9.4E-005	4.86657	-0.0361907	-3.52991E-005	4.97491	-0.0264232	0	23.9437	4.88715	0.00521444	0	0	0	0	0
9.45E-005	4.86725	-0.0361605	-3.52991E-005	4.97287	-0.0265321	0	23.9369	4.88375	0.00526464	0	0	0	0	0
9.5E-005	4.86691	-0.0361638	-3.52991E-005	4.979	-0.026464	0	23.9302	4.88817	0.0052546	0	0	0	0	0
9.55E-005	4.86555	-0.036147	-3.86458E-005	4.98172	-0.0264164	0	23.9218	4.88613	0.00526799	0	0	0	0	0
9.6E-005	4.86657	-0.0361437	-3.86458E-005	4.97559	-0.0265593	0	23.915	4.88579	0.00520105	0	0	0	0	0
9.65E-005	4.86555	-0.0361672	-4.19924E-005	4.9681	-0.0264946	0	23.9083	4.88579	0.00529476	0	0	0	0	0
