Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140724592290076, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140724592290076, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.98009686905425, -3.21934950640155
-2.99097308132332, -3.23025070046736
-2.98145639558788, -3.22207480491801
-2.99233260785695, -3.22343745417623
-2.98825402825605, -3.2166242078851
-2.97601828945335, -3.21934950640155
-2.98417544865515, -3.21934950640155
-2.98417544865515, -3.22888805120914
-2.98417544865515, -3.22888805120914
-2.98145639558788, -3.22752540195091
-2.98009686905425, -3.22752540195091
-2.98825402825605, -3.23570129750027
-2.98009686905425, -3.23025070046736
-2.98145639558788, -3.23570129750027
-2.98825402825605, -3.2166242078851
-2.98281592212152, -3.23297599898382
-2.98689450172242, -3.23161334972559
-2.98553497518878, -3.23161334972559
-2.98145639558788, -3.23978924527495
-2.98417544865515, -3.24115189453317
-2.98417544865515, -3.24115189453317
-2.98281592212152, -3.24115189453317
-2.98281592212152, -3.23842659601672
-2.98145639558788, -3.2425145437914
-2.98009686905425, -3.24115189453317
-2.98689450172242, -3.23978924527495
-2.98417544865515, -3.24115189453317
-2.98009686905425, -3.24523984230785
-2.98145639558788, -3.24523984230785
-2.99369213439059, -3.23978924527495
-2.98553497518878, -3.2425145437914
-2.98553497518878, -3.23433864824204
-2.98281592212152, -3.24932779008253
-2.97873734252062, -3.24387719304963
-2.98281592212152, -3.24387719304963
-2.98553497518878, -3.2425145437914
-2.97737781598698, -3.25477838711543
-2.98553497518878, -3.24932779008253
-2.99369213439059, -3.25341573785721
-2.98145639558788, -3.24387719304963
-2.98689450172242, -3.25069043934076
-2.98961355478968, -3.25069043934076
-2.98689450172242, -3.2479651408243
-2.99233260785695, -3.24387719304963
-2.99233260785695, -3.24523984230785
-2.98825402825605, -3.25205308859898
-2.99233260785695, -3.24932779008253
-2.98825402825605, -3.25205308859898
-2.98553497518878, -3.25477838711543
-2.98281592212152, -3.25341573785721
-2.99097308132332, -3.25750368563189
-2.98689450172242, -3.25750368563189
-2.98825402825605, -3.24932779008253
-2.98417544865515, -3.24523984230785
-2.98825402825605, -3.24660249156608
-2.98825402825605, -3.26022898414834
-2.98961355478968, -3.25477838711543
-2.98009686905425, -3.25750368563189
-2.97737781598698, -3.25886633489011
-2.98145639558788, -3.26022898414834
-2.98417544865515, -3.25205308859898
-2.98553497518878, -3.26022898414834
-2.98553497518878, -3.25341573785721
-2.98281592212152, -3.25614103637366
-2.98417544865515, -3.26431693192302
-2.98689450172242, -3.25614103637366
-2.99097308132332, -3.25750368563189
-2.98961355478968, -3.26295428266479
-2.98689450172242, -3.25886633489011
-2.99097308132332, -3.25886633489011
-2.98961355478968, -3.26022898414834
-2.98417544865515, -3.26159163340657
-2.98961355478968, -3.26022898414834
-2.98825402825605, -3.25477838711543
-2.98689450172242, -3.26022898414834
-2.99097308132332, -3.26159163340657
-2.98825402825605, -3.25750368563189
-2.99233260785695, -3.25477838711543
-2.98961355478968, -3.26431693192302
-2.99097308132332, -3.25886633489011
-2.98825402825605, -3.26567958118124
-2.98961355478968, -3.26022898414834
-2.98689450172242, -3.25750368563189
-2.99233260785695, -3.26295428266479
-2.98145639558788, -3.2479651408243
-2.99097308132332, -3.26431693192302
-2.98553497518878, -3.25614103637366
-2.99641118745785, -3.26159163340657
-2.99505166092422, -3.26159163340657
-2.97873734252062, -3.26022898414834
-2.99777071399149, -3.25886633489011
-2.98553497518878, -3.25750368563189
-2.99369213439059, -3.26022898414834
-2.98825402825605, -3.25341573785721
-2.98825402825605, -3.25750368563189
-2.98961355478968, -3.26295428266479
-2.99233260785695, -3.25750368563189
-2.98689450172242, -3.25750368563189
-2.98689450172242, -3.25750368563189
-2.98825402825605, -3.25477838711543
-2.98961355478968, -3.26976752895592
-2.99641118745785, -3.25750368563189
-2.99369213439059, -3.25614103637366
-2.98961355478968, -3.26295428266479
-2.99097308132332, -3.25614103637366
-2.99097308132332, -3.26022898414834
-2.98553497518878, -3.25341573785721
-2.98689450172242, -3.26704223043947
-2.99777071399149, -3.25341573785721
-2.98825402825605, -3.25886633489011
-2.98009686905425, -3.25341573785721
-2.99233260785695, -3.25069043934076
-2.98689450172242, -3.25614103637366
-2.98825402825605, -3.25069043934076
-2.98825402825605, -3.25477838711543
-2.99913024052512, -3.25341573785721
-2.98689450172242, -3.2479651408243
-2.98689450172242, -3.26022898414834
-2.98281592212152, -3.25069043934076
-2.99097308132332, -3.25205308859898
-2.99233260785695, -3.25886633489011
-2.99233260785695, -3.25886633489011
-2.99233260785695, -3.2479651408243
-2.98145639558788, -3.24387719304963
-2.99233260785695, -3.25205308859898
-3.00048976705875, -3.25205308859898
-3.00048976705875, -3.2479651408243
-2.98009686905425, -3.25614103637366
-2.99097308132332, -3.2479651408243
-2.99505166092422, -3.2479651408243
-2.99369213439059, -3.24932779008253
-2.99369213439059, -3.25069043934076
-2.98417544865515, -3.24523984230785
-2.99641118745785, -3.2479651408243
-2.99097308132332, -3.24523984230785
-2.98689450172242, -3.24660249156608
-2.98689450172242, -3.25614103637366
-2.98417544865515, -3.2425145437914
-2.98689450172242, -3.25205308859898
-2.99369213439059, -3.23842659601672
-2.99777071399149, -3.2425145437914
-2.98689450172242, -3.2479651408243
-2.99097308132332, -3.2479651408243
-2.98553497518878, -3.2479651408243
-2.98689450172242, -3.24387719304963
-2.98689450172242, -3.24387719304963
-2.99233260785695, -3.2425145437914
-2.98825402825605, -3.24115189453317
-2.99233260785695, -3.2425145437914
-2.99369213439059, -3.23706394675849
-2.99097308132332, -3.2425145437914
-2.98689450172242, -3.23842659601672
-2.99505166092422, -3.23706394675849
-2.98825402825605, -3.23433864824204
-2.99233260785695, -3.23570129750027
-2.99097308132332, -3.23978924527495
-2.99233260785695, -3.23433864824204
-2.99097308132332, -3.23161334972559
-2.98553497518878, -3.23433864824204
-2.99097308132332, -3.23297599898382
